League,Week,Date,Time,Team,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
EPL,1,8/11/2023,12,BURNLEY,MAN CITY,GAME,SPREAD,+2,0,0,0,,FanDuel alternative spread; take up to -140)
EPL,1,8/11/2023,12,ARSENAL,NOTTINGHAM,GAME,SPREAD,-1,0,0,0,,FanDuel alternative spread; take up to -180)
EPL,1,8/12/2023,12,CRYSTAL PALACE,SHEFFIELD,GAME,MONEY,+145,0,0,0,,FanDuel; take up to +120)
EPL,1,8/12/2023,12,BOURNEMOUTH WEST_HAM,,GAME,DRAW,+250,0,0,0,,FanDuel; take up to +220)
EPL,1,8/12/2023,12,BRIGHTON,LUTON,GAME,SPREAD,-1,0,0,0,, 
EPL,1,8/12/2023,12,EVERTON,FULHAM,GAME,MONEY,+120,0,0,0,, 
EPL,1,8/12/2023,12,NEWCASTLE,ASTON VILLA,GAME,MONEY,-140,0,0,0,,FanDuel; take up to -170)
EPL,1,8/12/2023,12,BRENTFORD,TOTTENHAM,GAME,SPREAD,+1,0,0,0,,FanDuel alternative spread; take to -200)
EPL,1,8/13/2022,12,CHELSEA,LIVERPOOL,GAME,MONEY,+180,0,0,0,,FanDuel; take up to +150)
EPL,1,8/13/2022,12,WOLVES,MANCHESTER UNITED,GAME,SPREAD,+2,0,0,0,,FanDuel alternative spread; take to -180)
