League,Week,Date,Time,Team,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NCAAF,2,9/9/2023,12,VIRGINIA,JMU,GAME,SPREAD,+7,0,0,0,,ok to take down to 6)
NCAAF,2,9/9/2023,12,VIRGINIA,JAMES MADISON,GAME,MONEY,+240,0,0,0,,ok to take down to +200)
NCAAF,2,9/9/2023,12,BAYLOR,UTAH,GAME,SPREAD,+7,0,0,0,,ok to take down to 6)
NCAAF,2,9/9/2023,12,BAYLOR,UTAH,GAME,MONEY,+230,0,0,0,,ok to take down to +200)
NCAAF,2,9/9/2023,3.5,WESTERN MICH,SYRACUSE,GAME,SPREAD,+23.5,0,0,0,,ok to take down to 23)
NCAAF,2,9/9/2023,3.5,UNLV,MICHIGAN,GAME,SPREAD,+36.5,0,0,0,,ok to take down to 35.5)
NCAAF,2,9/9/2023,3.5,IOWA ST.,IOWA,GAME,SPREAD,+4,0,0,0,,ok to take down to 3)
NCAAF,2,9/9/2023,3.5,NORTHWESTERN,UTEP,GAME,SPREAD,+2,0,0,0,,ok to take down to 1)
NCAAF,2,9/9/2023,18.5,CINCINATTI,PITT,GAME,SPREAD,+8,0,0,0,,ok to take down to 7)
NCAAF,2,9/9/2023,18.5,CINCINATTI,PITT,GAME,MONEY,+260,0,0,0,,ok to take down to +200)
NCAAF,2,9/9/2023,18.5,BOISE,CENTRAL FLORIDA,GAME,SPREAD,+3.5,0,0,0,,ok to take down to 3)
NCAAF,2,9/9/2023,18.5,ALABAMA,TEXAS,GAME,SPREAD,-7,0,0,0,,ok to take up to 8)
NCAAF,2,9/9/2023,18.5,SAN DIEGO,+13.5 UCLA,GAME,SPREAD,ST.,0,0,0,,ok to take down to 13)
NCAAF,2,9/9/2023,18.5,SAN DIEGO,+430 UCLA,GAME,SPREAD,ST.,0,0,0,,ok to take down to +300)
NCAAF,2,9/9/2023,18.5,WASHINGTON ST.,WISCONSIN,GAME,SPREAD,+6.5,0,0,0,,ok to take down to 6)
NCAAF,2,9/9/2023,18.5,WASHINGTON ST.,WISCONSIN,GAME,MONEY,+220,0,0,0,,ok to take down to +200)
NCAAF,2,9/9/2023,18.5,ARIZONA,MISS. ST.,GAME,SPREAD,+10,0,0,0,,ok to take down to 8)
NCAAF,2,9/9/2023,18.5,TEMPLE,RUTGERS,GAME,SPREAD,+9.5,0,0,0,,ok to take down to 8)
NCAAF,2,9/9/2023,18.5,S. MISS,FSU,GAME,SPREAD,+30,0,0,0,,ok to take down to 28)
NCAAF,2,9/9/2023,22,ARIZONA ST.,OK. ST.,GAME,SPREAD,+4,0,0,0,,ok to take down to 3)
NCAAF,2,9/9/2023,22,STANFORD,USC,GAME,SPREAD,+30,0,0,0,,ok to take down to 28)
NCAAF,2,9/9/2023,22,CAL,AUBURN,GAME,SPREAD,+6.5,0,0,0,,ok to take down to 6)
