League,Week,Date,Time,Team,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CLG,1,8/30/2023,12,RAKOW,COPENHAGEN,GAME,SPREAD,+0.5,0,0,0,,up to -130)
CLG,1,8/30/2023,12,ANTWERP,ATHENS,GAME,SPREAD,+0.5,0,0,0,,up to -130)
EPL,1,9/1/2023,12,LUTON,WEST HAM,GAME,SPREAD,+0.5,0,0,0,,+110 up to -130)
EPL,1,9/1/2023,12,LUTON,WEST HAM,GAME,MONEY,+400,0,0,0,,alternate)
EPL,1,9/2/2023,12,CHELSEA,NOTTINGHAM FOREST,GAME,SPREAD,-1.5,0,0,0,,+110 up to -130)
EPL,1,9/2/2023,12,CHELSEA,NOTTINGHAM FOREST,GAME,SPREAD,-2,0,0,0,,alternate spread, +31 0Fan Duel)
EPL,1,9/2/2023,12,BRENTFORD,BOURNEMOUTH,GAME,MONEY,-150,0,0,0,,up to -175)
EPL,1,9/2/2023,12,BRENTFORD,BOURNEMOUTH,GAME,SPREAD,-1,0,0,0,,alternate +185)
EPL,1,9/2/2023,12,BRIGHTON,NEWCASTLE,GAME,DRAW,+280,0,0,0,,down to +225)
EPL,1,9/2/2023,12,BRIGHTON,NEWCASTLE,GAME,SCORE,1-1,0,0,0,,+650 correct score, Fan Duel)
EPL,1,9/3/2023,12,LIVERPOOL,ASTON VILLA,GAME,MONEY,-140,0,0,0,,up to -175)
EPL,1,9/3/2023,12,LIVERPOOL,ASTON VILLA,GAME,SPREAD,-1,0,0,0,,+190 3-way spread, Fan Duel)
EPL,1,9/3/2023,12,ARSENAL,MAN UNITED,GAME,MONEY,-130,0,0,0,,up to -175)
EPL,1,9/3/2023,12,ARSENAL,MAN UNITED,GAME,SPREAD,-1,0,0,0,,+200 3-way spread, Fan Duel)
