League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NFL,240903,08/05/24,10,BAL @KC,,,GAME,TM_OVER,47,0,0,0,,ok to 48)
NFL,240903,08/06/24,10,PHI,H,GB,GAME,MONEY,-120,0,0,0,,ok to -135)
NFL,240903,08/08/24,10,ATL,H,PIT,GAME,SPREAD,-2.5,0,0,0,,ok to -3)
NFL,240903,08/08/24,10,NYG,H,MN,GAME,SPREAD,+1,0,0,0,,ok to 0)
NFL,240903,08/08/24,10,GIANTS,,VIKINGS,GAME,MONEY,+100,0,0,0,, 
NFL,240903,08/08/24,10,NE,A,CIN,GAME,SPREAD,+9,0,0,0,,ok to +7.5)
NFL,240903,08/08/24,10,PATS,,BENGALS,GAME,MONEY,+350,0,0,0,, 
NFL,240903,08/08/24,10,TN,A,CHI,GAME,SPREAD,+4.5,0,0,0,,ok to +4)
NFL,240903,08/08/24,10,TN @CHI,,,GAME,TM_UNDER,43.5,0,0,0,, 
NFL,240903,08/08/24,10,TITANS,,BEARS,GAME,MONEY,+180,0,0,0,, 
NFL,240903,08/08/24,10,ARI,A,BUF,GAME,SPREAD,+7,0,0,0,,ok to +6)
NFL,240903,08/08/24,10,CARDINALS,,BILLS,GAME,MONEY,+230,0,0,0,, 
NFL,240903,08/08/24,10,IND,H,HOU,GAME,SPREAD,+2,0,0,0,,ok to 0)
NFL,240903,08/08/24,10,COLTS,,TEXANS,GAME,MONEY,+100,0,0,0,, 
NFL,240903,08/08/24,10,CAR @NO,,,GAME,TM_OVER,40,0,0,0,,ok to 41)
NFL,240903,08/08/24,10,PANTHERS,,SAINTS,GAME,MONEY,+170,0,0,0,, 
NFL,240903,08/08/24,10,5% @LAC,,LVR,GAME,SPREAD,-3,0,0,0,,ok to -4)
NFL,240903,08/08/24,10,DEN,A,SEA,GAME,SPREAD,+4.5,0,0,0,,ok to +4)
NFL,240903,08/08/24,10,BRONCOS,,SEATTLE,GAME,MONEY,+170,0,0,0,, 
NFL,240903,08/08/24,10,CLE,H,DAL,GAME,MONEY,-125,0,0,0,,ok to -135)
NFL,240903,08/08/24,10,LAR @DET,,,GAME,TM_UNDER,51,0,0,0,,ok to 50)
NFL,240903,08/08/24,10,RAMS,,LIONS,GAME,MONEY,+165,0,0,0,, 
NFL,240903,08/09/24,10,NYJ,A,SF,GAME,SPREAD,+5.5,0,0,0,,ok to 4)
NFL,240903,08/09/24,10,NYJ,,SF,GAME,OVER,45,0,0,0,,ok to 46)
NFL,240903,08/09/24,10,JETS,,49ERS,GAME,MONEY,+205,0,0,0,, 
