League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CFB,240827cfb,8/29/24,10,UNC,,Minnesota,GAME,MONEY,-125,0,0,0,,ok to -150)
CFB,240827cfb,8/29/24,10,COLORADO,,North Dakota State,GAME,SPREAD,-9.5,0,0,0,,ok to -10)
CFB,240827cfb,8/29/24,10,,,,GAME,TEASE,0,0,0,0,,2-team 6 point Teaser: UNC +4 & STANFORD +15
CFB,240827cfb,8/30/24,10,TEMPLE,,Oklahoma,GAME,SPREAD,+43.5,0,0,0,,ok to +42)
CFB,240827cfb,8/30/24,10,WESTERN MICHIGAN,,Wisconsin,GAME,SPREAD,+24.5,0,0,0,,ok to +24)
CFB,240827cfb,8/30/24,10,STANFORD,,TCU,GAME,SPREAD,+9,0,0,0,,ok to +8)
CFB,240827cfb,8/30/24,10,1% STANFORD,,TCU,GAME,MONEY,+250,0,0,0,,ok to +225)
CFB,240827cfb,8/31/24,10,WEST VIRGINIA,,Penn St.,GAME,SPREAD,+8.5,0,0,0,,ok to +8)
CFB,240827cfb,8/31/24,10,VANDERBILT,,Va Tech,GAME,SPREAD,+13.5,0,0,0,,ok to +13)
CFB,240827cfb,8/31/24,10,CLEMSON,,Georgia,GAME,SPREAD,+13.5,0,0,0,,ok to +13)
CFB,240827cfb,8/31/24,10,FLORIDA,,Miami,GAME,SPREAD,+3,0,0,0,,ok to +1)
CFB,240827cfb,8/31/24,10,COLORADO ST.,,Texas,GAME,SPREAD,+32.5,0,0,0,,ok to +31)
CFB,240827cfb,8/31/24,10,GA SOUTHERN,,Boise,GAME,SPREAD,+13,0,0,0,,ok to +13)
CFB,240827cfb,8/31/24,10,HAWAII,,UCLA,GAME,SPREAD,+14,0,0,0,,ok to +13)
CFB,240827cfb,8/31/24,10,FRESNO,,Michigan,GAME,SPREAD,+21.5,0,0,0,,ok to +21)
CFB,240827cfb,8/31/24,10,SMU,,Houston Baptist,GAME,SPREAD,-43.5,0,0,0,,ok to -45)
CFB,240827cfb,8/31/24,10,CHARLOTTE,,JMU,GAME,SPREAD,+6.5,0,0,0,,ok to +6)
CFB,240827cfb,8/31/24,10,,,,GAME,TEASE,0,0,0,0,,2 team 7 point teaser GA SOUTHERN +20 & CHARLOTTE +13.5
CFB,240827cfb,8/31/24,10,,,,GAME,TEASE,0,0,0,0,,2-team 7 point Teaser: FLORIDA +10 & USC +11
CFB,240827cfb,8/31/24,10,FLORIDA,,Miami,GAME,MONEY,+120,0,0,0,,ok to +100)
CFB,240827cfb,8/31/24,10,1% VANDERBILT,,Va Tech,GAME,MONEY,+400,0,0,0,,ok to +300)
CFB,240827cfb,8/31/24,10,1% CLEMSON,,Georgia,GAME,MONEY,+425,0,0,0,,ok to +300)
CFB,240827cfb,8/31/24,10,1% GA,,+350 Boise,GAME,SPREAD,SOUTHERN,0,0,0,,ok to +300)
CFB,240827cfb,8/31/24,10,1% CHARLOTTE,,JMU,GAME,MONEY,+215,0,0,0,,ok to +200)
CFB,240827cfb,8/31/24,10,1% HAWAII,,,GAME,MONEY,+410,0,0,0,,ok to +300)
CFB,240827cfb,9/1/24,10,USC,,LSU,GAME,SPREAD,+4,0,0,0,,ok to +3)
CFB,240827cfb,9/1/24,10,USC,,LSU,GAME,MONEY,+150,0,0,0,,ok to +125)
CFB,240827cfb,9/2/24,10,FSU,,Boston College,GAME,SPREAD,-17,0,0,0,,ok to -17)
