League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
SLL,240827soc,8/27/24,10,VALLECANO,,-160 Barcelona,GAME,SPREAD,+1,0,0,0,, 
CLG,240827soc,8/28/24,10,SLAVIA PRAGUE,,-110 Lille,GAME,SPREAD,0,0,0,0,, 
SLL,240827soc,8/29/24,10,LAS PALMAS,,-120 Real Madrid,GAME,SPREAD,+1.5,0,0,0,, 
ECL,240827soc,8/29/24,10,PANATHINAIKOS,,-105 Lens,GAME,SPREAD,0,0,0,0,, 
ECL,240827soc,8/29/24,10,SERVETTE,,Chelsea,GAME,SPREAD,+0.75,0,0,0,, 
ELG,240827soc,8/29/24,10,HEARTS,,-140 Viktoria Plzeň,GAME,SPREAD,+0.5,0,0,0,, 
ELG,240827soc,8/29/24,10,SHAMROCK ROVERS,,-130 Paok,GAME,SPREAD,+1,0,0,0,, 
SLL,240827soc,8/31/24,10,BILBAO,,+105 Atletico,GAME,SPREAD,0,0,0,0,, 
SLL,240827soc,8/31/24,10,VALENCIA,,-110 Villareal,GAME,SPREAD,0,0,0,0,, 
SLL,240827soc,8/31/24,10,BARCELONA,,-130 Vallodolid,GAME,SPREAD,-1.5,0,0,0,, 
ISA,240827soc,8/31/24,10,LAZIO,,+105 ACMilan,GAME,SPREAD,0,0,0,0,, 
FL1,240827soc,8/31/24,10,TOULOUSE,,-130 Marseille,GAME,SPREAD,+0.5,0,0,0,, 
GBL,240827soc,8/31/24,10,MAINZ,,-125 Stuttgart,GAME,SPREAD,+1,0,0,0,, 
GBL,240827soc,8/31/24,10,WERDER BREMEN,,-185 Dortmund,GAME,SPREAD,+1,0,0,0,, 
EPL,240827soc,8/31/24,10,BRIGHTON,,Arsenal,GAME,SPREAD,+1.5,0,0,0,, 
EPL,240827soc,8/31/24,10,BRENTFORD,,Southampton,GAME,MONEY,-130,0,0,0,, 
EPL,240827soc,8/31/24,10,EVERTON,,Bournemouth,GAME,SPREAD,0,0,0,0,, 
EPL,240827soc,8/31/24,10,WEST HAM,,Man City,GAME,SPREAD,+1,0,0,0,, 
EPL,240827soc,8/31/24,10,NEWCASTLE,,Tottenham,GAME,SPREAD,0,0,0,0,, 
SLL,240827soc,9/1/24,10,GETAFE,,-150 Real Sociedad,GAME,SPREAD,+0.5,0,0,0,, 
SLL,240827soc,9/1/24,10,REAL BETIS,,-185 Real Madrid,GAME,SPREAD,+2,0,0,0,, 
ISA,240827soc,9/1/24,10,ROMA,,-185 Juventus,GAME,SPREAD,+1,0,0,0,, 
FL1,240827soc,9/1/24,10,LEHAVRE,,-125 Auxerre,GAME,SPREAD,0,0,0,0,, 
GBL,240827soc,9/1/24,10,FREIBURG,,-165 Bayern Munich,GAME,SPREAD,+2.5,0,0,0,, 
EPL,240827soc,9/1/24,10,MANU,,Liverpool,GAME,SPREAD,+0.5,0,0,0,, 
