League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NFL,240903nfl,9/8/24,10,FALCONS,,Steelers,GAME,SPREAD,-3,0,-1,,, 
NFL,240903nfl,9/8/24,10,GIANTS,,Vikings,GAME,SPREAD,+1,0,-1,,, 
NFL,240903nfl,9/8/24,10,TITANS,,BEARS,GAME,UNDER,45.5,0,-1,,,ok to -45)
NFL,240903nfl,9/8/24,10,PANTHERS,,SAINTS,GAME,OVER,41.5,0,-1,,,ok to 42)
NFL,240903nfl,9/8/24,10,CARDINALS,,BILLS,GAME,SPREAD,+6,0,-1,,, 
NFL,240903nfl,9/8/24,10,COLTS,,TEXANS,GAME,SPREAD,+2.5,0,-1,,,ok to +1)
NFL,240903nfl,9/8/24,10,CHARGERS,,RAIDERS,GAME,SPREAD,-3,0,-1,,,ok to -4)
NFL,240903nfl,9/8/24,10,BUCS,,COMMANDERS,GAME,SPREAD,-3,0,-1,,,ok to -4)
NFL,240903nfl,9/8/24,10,,,,GAME,TEASE,0,0,0,0,,2-TEAM, 6.5 POINT TEASER (ok to -130) GIANTS +7.5 & FALCONS +3.5
NFL,240903nfl,9/8/24,10,,,,GAME,TEASE,0,0,0,0,,2-TEAM, 6.5 POINT TEASER (ok to -130) CHARGERS +3.5 & FALCONS +3.5
NFL,240903nfl,9/8/24,10,,,,GAME,TEASE,0,0,0,0,,2-TEAM, 6.5 POINT TEASER (ok to -130) GIANTS +7.5 & CHARGERS +3.5
NFL,240903nfl,9/8/24,10,COWBOYS,,points -115,GAME,TM_OVER,19.5,0,-1,,, 
NFL,240903nfl,9/8/24,10,JETS,,points -115,GAME,TM_OVER,19.5,0,-1,,, 
NFL,240903nfl,9/8/24,10,CHARGERS,,points -115,GAME,TM_OVER,20.5,0,-1,,, 
NFL,240903nfl,9/8/24,10,CARDINALS,,,GAME,MONEY,+225,0,-1,,,ok to +200)
NFL,240903nfl,9/8/24,10,COLTS,,,GAME,MONEY,+115,0,-1,,,ok to +100)
NFL,240903nfl,9/8/24,10,EAGLES HURTS,,passing yards,GAME,TM_OVER,238.5,0,-1,,,ok to 241)
NFL,240903nfl,9/8/24,10,JAGS LAWRENCE,,passing yards,GAME,TM_OVER,252.5,0,-1,,,ok to 254)
NFL,240903nfl,9/8/24,10,PANTHERS YOUNG,,passing yards,GAME,TM_OVER,202.5,0,-1,,,ok to 205)
NFL,240903nfl,9/8/24,10,BUCS MAYFIELD,,passing yards,GAME,TM_OVER,245.5,0,-1,,,ok to 249)
NFL,240903nfl,9/8/24,10,PATRIOTS STEVENSON,,rushing yards,GAME,TM_OVER,48.5,0,-1,,,ok to 50)
NFL,240903nfl,9/8/24,10,BILLS COOK,,rushing yards,GAME,TM_OVER,60+,0,-1,,,ok to -150)
NFL,240903nfl,9/8/24,10,CARDINALS MURRAY,,rushing yards,GAME,TM_OVER,31.5,0,-1,,,ok to -150)
NFL,240903nfl,9/8/24,10,COLTS TAYLOR,,rushing yards,GAME,TM_OVER,73.5,0,-1,,,ok to -150)
NFL,240903nfl,9/8/24,10,CHARGERS DOBBINS,,rushing yards,GAME,TM_OVER,35.5,0,-1,,,ok to -150)
NFL,240903nfl,9/8/24,10,49ERS MCCAFFREY,,rushing yards,GAME,TM_UNDER,76.5,0,-1,,,ok to -150)
