League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
NFL,241001,10/03/24,13,BUCS,HA,FALCONS,GAME,OVER,43,0,-1,,,ok to 44)
NFL,241001,10/06/24,13,JETS,HA,Vikings,GAME,SPREAD,+3,0,-1,,,ok to 2)
NFL,241001,10/06/24,13,JETS,HA,VIKINGS,GAME,OVER,41.5,0,-1,,,ok to 42)
NFL,241001,10/06/24,13,PANTHERS,HA,Bears,GAME,SPREAD,+4,0,-1,,,ok to 3)
NFL,241001,10/06/24,13,5% BENGALS,HA,Ravens,GAME,SPREAD,+3,0,-1,,,ok to 2)
NFL,241001,10/06/24,13,5% TEXANS,HA,Bills,GAME,SPREAD,+1,0,-1,,,ok to pick)
NFL,241001,10/06/24,13,JAGS,HA,Colts,GAME,SPREAD,-2.5,0,-1,,,ok to 3)
NFL,241001,10/06/24,13,PATS,HA,Dolphins,GAME,SPREAD,+1,0,-1,,,ok to pick)
NFL,241001,10/06/24,13,BROWNS,HA,Commanders,GAME,SPREAD,+4,0,-1,,,ok to 3)
NFL,241001,10/06/24,13,BROWNS,HA,COMMANDERS,GAME,UNDER,44,0,-1,,,ok to 43)
NFL,241001,10/06/24,13,BRONCOS,HA,Raiders,GAME,MONEY,-125,0,-1,,,ok to -130)
NFL,241001,10/06/24,13,CARDINALS,HA,49ers,GAME,SPREAD,+7.5,0,-1,,,ok to 7)
NFL,241001,10/06/24,13,RAMS,HA,Packers,GAME,SPREAD,+4,0,-1,,,ok to 3)
NFL,241001,10/06/24,13,GIANTS,HA,Seattle,GAME,SPREAD,+7,0,-1,,,ok to 6)
NFL,241001,10/06/24,13,COWBOYS,HA,Steelers,GAME,SPREAD,+2,0,-1,,,ok to 1)
NFL,241001,10/07/24,13,SAINTS,HA,Chiefs,GAME,SPREAD,+6,0,-1,,,ok to 5)
NFL,241001,10/07/24,13,SAINTS,HA,CHIEFS,GAME,OVER,43,0,-1,,,ok to 44)
NFL,241001,10/07/24,13,JETS,HA,Vikings,GAME,MONEY,+130,0,-1,,,ok to +120)
NFL,241001,10/07/24,13,PANTHERS,HA,Bears,GAME,MONEY,+160,0,-1,,,ok to +150)
NFL,241001,10/07/24,13,BENGALS,HA,Ravens,GAME,MONEY,+120,0,-1,,,ok to +100)
NFL,241001,10/07/24,13,TEXANS,HA,Bills,GAME,MONEY,+100,0,-1,,,ok to -110)
NFL,241001,10/07/24,13,RAMS,HA,Packers,GAME,MONEY,+165,0,-1,,,ok to +140)
NFL,241001,10/07/24,13,SAINTS,HA,Chiefs,GAME,MONEY,+200,0,-1,,,ok to +180)
CFB,241001,10/04/24,12,SYRACUSE,HA,UNLV,GAME,SPREAD,+5,0,-1,,,ok to +4)
CFB,241001,10/05/24,12,UNC,HA,Pitt,GAME,SPREAD,+2.5,0,-1,,,ok to +1)
CFB,241001,10/05/24,12,SMU,HA,Louisville,GAME,SPREAD,+6.5,0,-1,,,ok to +6)
CFB,241001,10/05/24,12,AM,HA,Missouri,GAME,MONEY,-120,0,-1,,,ok to -135)
CFB,241001,10/05/24,12,UCLA,HA,Penn St.,GAME,SPREAD,+28,0,-1,,,ok to +27)
CFB,241001,10/05/24,12,NW,HA,Indiana,GAME,SPREAD,+11,0,-1,,,ok to +10)
CFB,241001,10/05/24,12,NEBRASKA,HA,Rutgers,GAME,SPREAD,-7,0,-1,,,ok to -7)
CFB,241001,10/05/24,12,BAYLOR,HA,Iowa St,GAME,SPREAD,+13,0,-1,,,ok to +13)
CFB,241001,10/05/24,12,TEXAS TECH,HA,Arizona,GAME,SPREAD,+5,0,-1,,,ok to +4)
CFB,241001,10/05/24,12,AUBURN,HA,Georgia,GAME,SPREAD,+24.5,0,-1,,,ok to +24)
CFB,241001,10/05/24,12,SOUTH CAROLINA,HA,Ole Miss,GAME,SPREAD,+10,0,-1,,,ok to +9)
CFB,241001,10/05/24,12,IOWA,HA,Ohio State,GAME,SPREAD,+21,0,-1,,,ok to +20)
CFB,241001,10/05/24,12,WVA,HA,Ok St,GAME,SPREAD,+4.5,0,-1,,,ok to +4)
CFB,241001,10/05/24,12,VANDY,HA,Alabama,GAME,SPREAD,+24.5,0,-1,,,ok to +24)
CFB,241001,10/05/24,12,FSU,HA,Clemson,GAME,SPREAD,+14,0,-1,,,ok to +13)
CFB,241001,10/05/24,12,ARKANSAS,HA,Tennessee,GAME,SPREAD,+14,0,-1,,,ok to +13)
CFB,241001,10/05/24,12,CAL,HA,Miami,GAME,SPREAD,+13,0,-1,,,ok to +13)
CFB,241001,10/05/24,12,PURDUE,HA,Wisconsin,GAME,SPREAD,+14,0,-1,,,ok to +13)
CFB,241001,10/05/24,12,FLORIDA,HA,UCF,GAME,MONEY,-115,0,-1,,,ok to -125)
CFB,241001,10/05/24,12,SYRACUSE,HA,UNLV,GAME,MONEY,+170,0,-1,,,ok to +160)
CFB,241001,10/05/24,12,SMU,HA,Louisville,GAME,MONEY,+205,0,-1,,,ok to +195)
CFB,241001,10/05/24,12,PURDUE,HA,Wisconsin,GAME,MONEY,+400,0,-1,,,ok to +350)
CFB,241001,10/05/24,12,SOUTH CAROLINA,HA,Ole Miss,GAME,MONEY,+260,0,-1,,,ok to +200)
CFB,241001,10/05/24,12,FSU,HA,Clemson,GAME,MONEY,+490,0,-1,,,ok to +400)
CFB,241001,10/05/24,12,BAYLOR,HA,Iowa State,GAME,MONEY,+440,0,-1,,,ok to +400)
CFB,241001,10/05/24,12,TEXAS TECH,HA,ASU,GAME,MONEY,+180,0,-1,,,ok to +160)
CLG,241001,10/01/24,9,ACMILAN,HA,-150 Leverkusen,GAME,SPREAD,+1,0,-1,,, 
CLG,241001,10/01/24,9,SLOVAN BRATISLAVA,HA,-160 Man City,GAME,SPREAD,+3.5,0,-1,,, 
CLG,241001,10/01/24,9,EINDHOVEN,HA,-125 Sporting Lisbon,GAME,SPREAD,0,0,-1,,, 
CLG,241001,10/01/24,9,RED STAR,HA,+2.5 -170 Inter,GAME,SPREAD,BELGRADE,0,-1,,, 
CLG,241001,10/01/24,9,YOUNG BOYS,HA,-140 Barcelona,GAME,SPREAD,+3,0,-1,,, 
CLG,241001,10/01/24,9,PSG,HA,-170 Arsenal,GAME,SPREAD,+1,0,-1,,, 
CLG,241001,10/02/24,9,BENFICA,HA,Atletico,GAME,SPREAD,0,0,-1,,, 
CLG,241001,10/02/24,9,ASTON VILLA,HA,-165 Bayern Munich,GAME,SPREAD,+1,0,-1,,, 
CLG,241001,10/02/24,9,DINAMO ZAGREB,HA,-160 Monaco,GAME,SPREAD,+1,0,-1,,, 
CLG,241001,10/02/24,9,LILLE,HA,-115 Real Madrid,GAME,SPREAD,+1,0,-1,,, 
CLG,241001,10/02/24,9,BOLOGNA,HA,-130 Liverpool,GAME,SPREAD,+2,0,-1,,, 
CLG,241001,10/02/24,9,GRAZ,HA,-115 Brugge,GAME,SPREAD,0,0,-1,,, 
ELG,241001,10/03/24,9,FERENCVAROS,HA,-135 Tottenham,GAME,SPREAD,+1.5,0,-1,,, 
ELG,241001,10/03/24,9,NICE,HA,-205 Lazio,GAME,SPREAD,+1,0,-1,,, 
ELG,241001,10/03/24,9,BESIKTAS,HA,-115 Frankfurt,GAME,SPREAD,0,0,-1,,, 
ISA,241001,10/04/24,9,VERONA,HA,Venezia,GAME,MONEY,+100,0,-1,,, 
GBL,241001,10/04/24,9,AUGSBURG,HA,-130 Gladbach,GAME,SPREAD,0,0,-1,,, 
EPL,241001,10/05/24,9,CRYSTAL PALACE,HA,-110 Liverpool,GAME,SPREAD,+1,0,-1,,, 
EPL,241001,10/05/24,9,WEST HAM,HA,Ipswich,GAME,MONEY,-135,0,-1,,, 
EPL,241001,10/05/24,9,FULHAM,HA,-145 Man City,GAME,SPREAD,+2,0,-1,,, 
EPL,241001,10/05/24,9,EVERTON,HA,-150 Newcastle,GAME,SPREAD,+0.5,0,-1,,, 
SLL,241001,10/05/24,9,LAS PALMAS,HA,-170 Celta Vigo,GAME,SPREAD,+0.5,0,-1,,, 
SLL,241001,10/05/24,9,VALLECANO,HA,-120 Valladolid,GAME,SPREAD,0,0,-1,,, 
ISA,241001,10/05/24,9,TORINO,HA,-135 Inter,GAME,SPREAD,+1.5,0,-1,,, 
FL1,241001,10/05/24,9,ST. ETIENNE,HA,-120 Auxerre,GAME,SPREAD,0,0,-1,,, 
FL1,241001,10/05/24,9,TOULOUSE,HA,-180 Lille,GAME,SPREAD,+1,0,-1,,, 
FL1,241001,10/05/24,9,RENNES,HA,-105 Monaco,GAME,SPREAD,0,0,-1,,, 
GBL,241001,10/05/24,9,KIEL,HA,-155 Leverkusen,GAME,SPREAD,+3,0,-1,,, 
