League,Week,Date,Time,Team,,HA,Oppo,Contest,Type,Bet,Return,Net,Site,Notes
NBA,42324,4/29,19,PELICANS,,THUNDER,GAME,SPREAD,+4.5,0,0,0,,ok to 4)
NBA,42324,4/29,19,NUGGETS,,LAKERS,GAME,SPREAD,-7.5,0,0,0,,ok to 8)
NBA,42324,4/29,19,CELTICS,,HEAT,GAME,UNDER,204.5,0,0,0,,ok to 204)
NBA,42324,4/29,19,LAKERS,,NUGGETS,GAME,UNDER,217,0,0,0,,ok to 216)
NBA,42324,4/29,19,THUNDER,,PELICANS,GAME,UNDER,208.5,0,0,0,,ok to 208)
NBA,43024,4/30,19,CAVS,,MAGIC,GAME,SPREAD,-4.5,0,0,0,,ok to 5)
NBA,43024,4/30,19,KNICKS,,76ERS,GAME,SPREAD,-4,0,0,0,,ok to 5)
NBA,43024,4/30,19,BUCKS,,PACERS,GAME,SPREAD,+4,0,0,0,,ok to 3)
NBA,43024,4/30,19,PACERS,,BUCKS,GAME,UNDER,216.5,0,0,0,,ok to 216)
NBA,43024,4/30,19,76ERS,,KNICKS,GAME,UNDER,203.5,0,0,0,,ok to 203)
NBA,43024,5/1,19,CLIPPERS,,MAVS,GAME,SPREAD,+2.5,0,0,0,,ok to 2)
