League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
EFA,240521,05/25/24,15,MCUAN UNITED,'H',MAN TEAMS TO,GAME,SPREAD,CITY,0,0,0,, 
FCP,240521,05/25/24,15,LYON,'H',PSG,GAME,SPREAD,+1,0,0,0,, 
ECL,240521,5/29/24,15,2% FIORENTINA,'H',OLYMPIAKOS,GAME,MONEY,+140,0,0,0,, 
ECL,240521,5/29/24,15,FIORENTINA,'H',OLYMPIAKOS +120,GAME,OVER,2.5,0,0,0,, 
EUR,240521,5/29/24,15,2% ATALANTA,'H',LEVERKUSEN,GAME,SPREAD,+0.5,0,0,0,, 
EUR,240521,5/29/24,15,ATALANTA,'H',LEVERKUSEN,GAME,UNDER,2.5,0,0,0,, 
CLG,240521,06/01/24,15,2% DORTMUND,'H',REAL MADRID,GAME,SPREAD,+1,0,0,0,, 
CLG,240521,06/01/24,15,DORTMUND,'H',REAL MADRID -150,GAME,UNDER,3,0,0,0,, 
SLL,240521,05/24/24,15,GRANADA,'H',GIRONA,GAME,SPREAD,+2,0,0,0,, 
SLL,240521,05/24/24,15,OSASUNA,'H',VILLAREAL,GAME,SPREAD,0,0,0,0,, 
SLL,240521,05/24/24,15,REAL SOCIEDAD,'H',ATLETICO MADRID,GAME,SPREAD,PK,0,0,0,, 
SLL,240521,05/24/24,15,VALLECANO,'H',BILBAO,GAME,SPREAD,0,0,0,0,, 
SLL,240521,05/24/24,15,REAL BETIS,'H',-165 REAL MADRID,GAME,SPREAD,+2,0,0,0,, 
SLL,240521,05/24/24,15,VALENCIA,'H',CELTA VIGO,GAME,SPREAD,+0.5,0,0,0,, 
SLL,240521,05/24/24,15,SEVILLA,'H',BARCELONA,GAME,SPREAD,+0.5,0,0,0,, 
SLL,240521,05/24/24,15,LAS_PALMAS,'H',ALAVES,GAME,SPREAD,0,0,0,0,, 
SLL,240521,05/24/24,15,GETAFE,'H',MALLORCA,GAME,SPREAD,0,0,0,0,, 
ISA,240521,05/23/24,15,ATALANTA,'H',TORINO,GAME,MONEY,+120,0,0,0,, 
ISA,240521,05/23/24,15,GENOA,'H',BOLOGNA,GAME,SPREAD,+0.5,0,0,0,, 
ISA,240521,05/23/24,15,CAGLIARI,'H',FIORENTINA,GAME,SPREAD,+0.5,0,0,0,, 
ISA,240521,05/23/24,15,ROMA,'H',EMPOLI,GAME,SPREAD,+0.5,0,0,0,, 
ISA,240521,05/23/24,15,FROSINONE,'H',UDINESE,GAME,SPREAD,0,0,0,0,, 
ISA,240521,05/23/24,15,SASSUOLO,'H',LAZIO,GAME,SPREAD,+1.5,0,0,0,, 
