League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number
NCAAF,250902,09/06/25,12:00:0,Kent State Golden Flashes,A,Texas Tech Red Raiders,SPREAD,GAME,+49 
NCAAF,250902,09/06/25,12:00:0,Iowa Hawkeyes,A,Iowa State Cyclones,SPREAD,GAME,+3.5 
NCAAF,250902,09/06/25,12:00:0,Iowa Hawkeyes,A,Iowa State Cyclones,MONEY,GAME,+150 
NCAAF,250902,09/06/25,12:00:0,Syracuse Orange,H,UConn Huskies,SPREAD,GAME,-6.5 
NCAAF,250902,09/06/25,12:00:0,NC State Wolfpack,H,Virginia Cavaliers,SPREAD,GAME,-3 
NCAAF,250902,09/06/25,12:00:0,Duke Blue Devils,H,Illinois Fighting Illini,SPREAD,GAME,+3 
NCAAF,250902,09/06/25,12:00:0,Duke Blue Devils,H,Illinois Fighting Illini,MONEY,GAME,+130 
NCAAF,250902,09/06/25,12:00:0,Central Michigan Chippewas,A,Pittsburgh Panthers,SPREAD,GAME,+23 
NCAAF,250902,09/06/25,12:45:0,Utah State Aggies,A,Texas A&M Aggies,SPREAD,GAME,+32.5 
NCAAF,250902,09/06/25,15:30:0,Kentucky Wildcats,H,Ole Miss Rebels,SPREAD,GAME,+10 
NCAAF,250902,09/06/25,15:30:0,Kentucky Wildcats,H,Ole Miss Rebels,MONEY,GAME,+300 
NCAAF,250902,09/06/25,19:00:0,South Alabama Jaguars,H,Tulane Green Wave,SPREAD,GAME,+13.5 
NCAAF,250902,09/06/25,19:00:0,South Alabama Jaguars,H,Tulane Green Wave,MONEY,GAME,+310 
NCAAF,250902,09/06/25,12:00:0,SMU Mustangs,H,Baylor Bears,SPREAD,GAME,-2.5 
NCAAF,250902,09/06/25,15:30:0,Kansas Jayhawks,A,Missouri Tigers,SPREAD,GAME,+6.5 
NCAAF,250902,09/06/25,15:30:0,Kansas Jayhawks,A,Missouri Tigers,MONEY,GAME,+200 
NCAAF,250902,09/06/25,15:30:0,Colorado Buffaloes,H,Delaware Fightin' Blue Hens,SPREAD,GAME,-23 
NCAAF,250902,09/06/25,15:30:0,Oregon State Beavers,H,Fresno State Bulldogs,SPREAD,GAME,-1.5 
NCAAF,250902,09/06/25,15:30:0,Oklahoma State Cowboys,A,Oregon Ducks,SPREAD,GAME,+28.5 
NCAAF,250902,09/06/25,16:00:0,West Virginia Mountaineers,A,Ohio Bobcats,SPREAD,GAME,-3 
NCAAF,250902,09/06/25,16:15:0,South Florida Bulls,A,Florida Gators,SPREAD,GAME,+18.5 
NCAAF,250902,09/06/25,19:00:0,Rice Owls,H,Houston Cougars,SPREAD,GAME,+14 
NCAAF,250902,09/06/25,15:30:0,Rutgers Scarlet Knights,H,Miami (OH) RedHawks,SPREAD,GAME,-13.5 
NCAAF,250902,09/06/25,19:30:0,Mississippi State Bulldogs,H,Arizona State Sun Devils,SPREAD,GAME,+6.5 
NCAAF,250902,09/06/25,19:30:0,Mississippi State Bulldogs,H,Arizona State Sun Devils,MONEY,GAME,+200 
NCAAF,250902,09/06/25,19:30:0,Virginia Tech Hokies,H,Vanderbilt Commodores,SPREAD,GAME,-1.5 
NCAAF,250902,09/06/25,19:30:0,Michigan Wolverines,A,Oklahoma Sooners,SPREAD,GAME,+5.5 
NCAAF,250902,09/06/25,22:15:0,Stanford Cardinal,A,BYU Cougars,SPREAD,GAME,+21 
NCAAF,250902,09/06/25,22:15:0,Washington State Cougars,H,San Diego State Aztecs,SPREAD,GAME,-1 
NCAAF,250902,09/06/25,21:00:0,New Mexico State Aggies,H,Tulsa Golden Hurricane,SPREAD,GAME,+4 
NCAAF,250902,09/06/25,00:00:0,Hawaii Rainbow Warriors,H,Sam Houston Bearkats,SPREAD,GAME,-6.5
